ID,buffer_6.5,buffer_7.5,buffer_8.5,c12e8,chaps,ddm,lmng,og,tcep,nacl,glycerol,water
1,10.0,0,0,6.72,0,0,0,0,0.0,5.0,0.0,76.6
2,10.0,0,0,6.72,0,0,0,0,10.0,5.0,0.0,66.6
3,10.0,0,0,0,6.8,0,0,0,0.0,5.0,0.0,76.52
4,10.0,0,0,0,6.8,0,0,0,10.0,5.0,0.0,66.52
5,10.0,0,0,0,0,6.09,0,0,0.0,5.0,0.0,77.23
6,10.0,0,0,0,0,6.09,0,0,10.0,5.0,0.0,67.23
7,10.0,0,0,0,0,0,14.0,0,0.0,5.0,0.0,69.32
8,10.0,0,0,0,0,0,14.0,0,10.0,5.0,0.0,59.32
9,10.0,0,0,0,0,0,0,0,0.0,5.0,0.0,83.32
10,10.0,0,0,0,0,0,0,0,10.0,5.0,0.0,73.32
11,10.0,0,0,0,0,0,0,7.42,0.0,5.0,0.0,75.9
12,10.0,0,0,0,0,0,0,7.42,10.0,5.0,0.0,65.9
13,10.0,0,0,6.72,0,0,0,0,0.0,5.0,30.0,46.6
14,10.0,0,0,6.72,0,0,0,0,10.0,5.0,30.0,36.6
15,10.0,0,0,0,6.8,0,0,0,0.0,5.0,30.0,46.52
16,10.0,0,0,0,6.8,0,0,0,10.0,5.0,30.0,36.52
17,10.0,0,0,0,0,6.09,0,0,0.0,5.0,30.0,47.23
18,10.0,0,0,0,0,6.09,0,0,10.0,5.0,30.0,37.23
19,10.0,0,0,0,0,0,14.0,0,0.0,5.0,30.0,39.32
20,10.0,0,0,0,0,0,14.0,0,10.0,5.0,30.0,29.32
21,10.0,0,0,0,0,0,0,0,0.0,5.0,30.0,53.32
22,10.0,0,0,0,0,0,0,0,10.0,5.0,30.0,43.32
23,10.0,0,0,0,0,0,0,7.42,0.0,5.0,30.0,45.9
24,10.0,0,0,0,0,0,0,7.42,10.0,5.0,30.0,35.9
25,10.0,0,0,6.72,0,0,0,0,0.0,25.0,0.0,56.6
26,10.0,0,0,6.72,0,0,0,0,10.0,25.0,0.0,46.6
27,10.0,0,0,0,6.8,0,0,0,0.0,25.0,0.0,56.52
28,10.0,0,0,0,6.8,0,0,0,10.0,25.0,0.0,46.52
29,10.0,0,0,0,0,6.09,0,0,0.0,25.0,0.0,57.23
30,10.0,0,0,0,0,6.09,0,0,10.0,25.0,0.0,47.23
31,10.0,0,0,0,0,0,14.0,0,0.0,25.0,0.0,49.32
32,10.0,0,0,0,0,0,14.0,0,10.0,25.0,0.0,39.32
33,10.0,0,0,0,0,0,0,0,0.0,25.0,0.0,63.32
34,10.0,0,0,0,0,0,0,0,10.0,25.0,0.0,53.32
35,10.0,0,0,0,0,0,0,7.42,0.0,25.0,0.0,55.9
36,10.0,0,0,0,0,0,0,7.42,10.0,25.0,0.0,45.9
37,10.0,0,0,6.72,0,0,0,0,0.0,25.0,30.0,26.6
38,10.0,0,0,6.72,0,0,0,0,10.0,25.0,30.0,16.6
39,10.0,0,0,0,6.8,0,0,0,0.0,25.0,30.0,26.52
40,10.0,0,0,0,6.8,0,0,0,10.0,25.0,30.0,16.52
41,10.0,0,0,0,0,6.09,0,0,0.0,25.0,30.0,27.23
42,10.0,0,0,0,0,6.09,0,0,10.0,25.0,30.0,17.23
43,10.0,0,0,0,0,0,14.0,0,0.0,25.0,30.0,19.32
44,10.0,0,0,0,0,0,14.0,0,10.0,25.0,30.0,9.32
45,10.0,0,0,0,0,0,0,0,0.0,25.0,30.0,33.32
46,10.0,0,0,0,0,0,0,0,10.0,25.0,30.0,23.32
47,10.0,0,0,0,0,0,0,7.42,0.0,25.0,30.0,25.9
48,10.0,0,0,0,0,0,0,7.42,10.0,25.0,30.0,15.9
49,0,10.0,0,6.72,0,0,0,0,0.0,5.0,0.0,76.6
50,0,10.0,0,6.72,0,0,0,0,10.0,5.0,0.0,66.6
51,0,10.0,0,0,6.8,0,0,0,0.0,5.0,0.0,76.52
52,0,10.0,0,0,6.8,0,0,0,10.0,5.0,0.0,66.52
53,0,10.0,0,0,0,6.09,0,0,0.0,5.0,0.0,77.23
54,0,10.0,0,0,0,6.09,0,0,10.0,5.0,0.0,67.23
55,0,10.0,0,0,0,0,14.0,0,0.0,5.0,0.0,69.32
56,0,10.0,0,0,0,0,14.0,0,10.0,5.0,0.0,59.32
57,0,10.0,0,0,0,0,0,0,0.0,5.0,0.0,83.32
58,0,10.0,0,0,0,0,0,0,10.0,5.0,0.0,73.32
59,0,10.0,0,0,0,0,0,7.42,0.0,5.0,0.0,75.9
60,0,10.0,0,0,0,0,0,7.42,10.0,5.0,0.0,65.9
61,0,10.0,0,6.72,0,0,0,0,0.0,5.0,30.0,46.6
62,0,10.0,0,6.72,0,0,0,0,10.0,5.0,30.0,36.6
63,0,10.0,0,0,6.8,0,0,0,0.0,5.0,30.0,46.52
64,0,10.0,0,0,6.8,0,0,0,10.0,5.0,30.0,36.52
65,0,10.0,0,0,0,6.09,0,0,0.0,5.0,30.0,47.23
66,0,10.0,0,0,0,6.09,0,0,10.0,5.0,30.0,37.23
67,0,10.0,0,0,0,0,14.0,0,0.0,5.0,30.0,39.32
68,0,10.0,0,0,0,0,14.0,0,10.0,5.0,30.0,29.32
69,0,10.0,0,0,0,0,0,0,0.0,5.0,30.0,53.32
70,0,10.0,0,0,0,0,0,0,10.0,5.0,30.0,43.32
71,0,10.0,0,0,0,0,0,7.42,0.0,5.0,30.0,45.9
72,0,10.0,0,0,0,0,0,7.42,10.0,5.0,30.0,35.9
73,0,10.0,0,6.72,0,0,0,0,0.0,25.0,0.0,56.6
74,0,10.0,0,6.72,0,0,0,0,10.0,25.0,0.0,46.6
75,0,10.0,0,0,6.8,0,0,0,0.0,25.0,0.0,56.52
76,0,10.0,0,0,6.8,0,0,0,10.0,25.0,0.0,46.52
77,0,10.0,0,0,0,6.09,0,0,0.0,25.0,0.0,57.23
78,0,10.0,0,0,0,6.09,0,0,10.0,25.0,0.0,47.23
79,0,10.0,0,0,0,0,14.0,0,0.0,25.0,0.0,49.32
80,0,10.0,0,0,0,0,14.0,0,10.0,25.0,0.0,39.32
81,0,10.0,0,0,0,0,0,0,0.0,25.0,0.0,63.32
82,0,10.0,0,0,0,0,0,0,10.0,25.0,0.0,53.32
83,0,10.0,0,0,0,0,0,7.42,0.0,25.0,0.0,55.9
84,0,10.0,0,0,0,0,0,7.42,10.0,25.0,0.0,45.9
85,0,10.0,0,6.72,0,0,0,0,0.0,25.0,30.0,26.6
86,0,10.0,0,6.72,0,0,0,0,10.0,25.0,30.0,16.6
87,0,10.0,0,0,6.8,0,0,0,0.0,25.0,30.0,26.52
88,0,10.0,0,0,6.8,0,0,0,10.0,25.0,30.0,16.52
89,0,10.0,0,0,0,6.09,0,0,0.0,25.0,30.0,27.23
90,0,10.0,0,0,0,6.09,0,0,10.0,25.0,30.0,17.23
91,0,10.0,0,0,0,0,14.0,0,0.0,25.0,30.0,19.32
92,0,10.0,0,0,0,0,14.0,0,10.0,25.0,30.0,9.32
93,0,10.0,0,0,0,0,0,0,0.0,25.0,30.0,33.32
94,0,10.0,0,0,0,0,0,0,10.0,25.0,30.0,23.32
95,0,10.0,0,0,0,0,0,7.42,0.0,25.0,30.0,25.9
96,0,10.0,0,0,0,0,0,7.42,10.0,25.0,30.0,15.9
97,0,0,10.0,6.72,0,0,0,0,0.0,5.0,0.0,76.6
98,0,0,10.0,6.72,0,0,0,0,10.0,5.0,0.0,66.6
99,0,0,10.0,0,6.8,0,0,0,0.0,5.0,0.0,76.52
100,0,0,10.0,0,6.8,0,0,0,10.0,5.0,0.0,66.52
101,0,0,10.0,0,0,6.09,0,0,0.0,5.0,0.0,77.23
102,0,0,10.0,0,0,6.09,0,0,10.0,5.0,0.0,67.23
103,0,0,10.0,0,0,0,14.0,0,0.0,5.0,0.0,69.32
104,0,0,10.0,0,0,0,14.0,0,10.0,5.0,0.0,59.32
105,0,0,10.0,0,0,0,0,0,0.0,5.0,0.0,83.32
106,0,0,10.0,0,0,0,0,0,10.0,5.0,0.0,73.32
107,0,0,10.0,0,0,0,0,7.42,0.0,5.0,0.0,75.9
108,0,0,10.0,0,0,0,0,7.42,10.0,5.0,0.0,65.9
109,0,0,10.0,6.72,0,0,0,0,0.0,5.0,30.0,46.6
110,0,0,10.0,6.72,0,0,0,0,10.0,5.0,30.0,36.6
111,0,0,10.0,0,6.8,0,0,0,0.0,5.0,30.0,46.52
112,0,0,10.0,0,6.8,0,0,0,10.0,5.0,30.0,36.52
113,0,0,10.0,0,0,6.09,0,0,0.0,5.0,30.0,47.23
114,0,0,10.0,0,0,6.09,0,0,10.0,5.0,30.0,37.23
115,0,0,10.0,0,0,0,14.0,0,0.0,5.0,30.0,39.32
116,0,0,10.0,0,0,0,14.0,0,10.0,5.0,30.0,29.32
117,0,0,10.0,0,0,0,0,0,0.0,5.0,30.0,53.32
118,0,0,10.0,0,0,0,0,0,10.0,5.0,30.0,43.32
119,0,0,10.0,0,0,0,0,7.42,0.0,5.0,30.0,45.9
120,0,0,10.0,0,0,0,0,7.42,10.0,5.0,30.0,35.9
121,0,0,10.0,6.72,0,0,0,0,0.0,25.0,0.0,56.6
122,0,0,10.0,6.72,0,0,0,0,10.0,25.0,0.0,46.6
123,0,0,10.0,0,6.8,0,0,0,0.0,25.0,0.0,56.52
124,0,0,10.0,0,6.8,0,0,0,10.0,25.0,0.0,46.52
125,0,0,10.0,0,0,6.09,0,0,0.0,25.0,0.0,57.23
126,0,0,10.0,0,0,6.09,0,0,10.0,25.0,0.0,47.23
127,0,0,10.0,0,0,0,14.0,0,0.0,25.0,0.0,49.32
128,0,0,10.0,0,0,0,14.0,0,10.0,25.0,0.0,39.32
129,0,0,10.0,0,0,0,0,0,0.0,25.0,0.0,63.32
130,0,0,10.0,0,0,0,0,0,10.0,25.0,0.0,53.32
131,0,0,10.0,0,0,0,0,7.42,0.0,25.0,0.0,55.9
132,0,0,10.0,0,0,0,0,7.42,10.0,25.0,0.0,45.9
133,0,0,10.0,6.72,0,0,0,0,0.0,25.0,30.0,26.6
134,0,0,10.0,6.72,0,0,0,0,10.0,25.0,30.0,16.6
135,0,0,10.0,0,6.8,0,0,0,0.0,25.0,30.0,26.52
136,0,0,10.0,0,6.8,0,0,0,10.0,25.0,30.0,16.52
137,0,0,10.0,0,0,6.09,0,0,0.0,25.0,30.0,27.23
138,0,0,10.0,0,0,6.09,0,0,10.0,25.0,30.0,17.23
139,0,0,10.0,0,0,0,14.0,0,0.0,25.0,30.0,19.32
140,0,0,10.0,0,0,0,14.0,0,10.0,25.0,30.0,9.32
141,0,0,10.0,0,0,0,0,0,0.0,25.0,30.0,33.32
142,0,0,10.0,0,0,0,0,0,10.0,25.0,30.0,23.32
143,0,0,10.0,0,0,0,0,7.42,0.0,25.0,30.0,25.9
144,0,0,10.0,0,0,0,0,7.42,10.0,25.0,30.0,15.9
